,Wife's age,Wife's education,Husband's education,Number of children ever born,Wife's religion,Wife's now working?,Husband's occupation,Standard-of-living index,Media exposure,Contraceptive method used
248,27,4,4,1,1,1,1,2,0,1
249,46,3,2,11,1,0,2,2,1,1
250,34,4,4,3,0,1,1,2,0,1
251,33,4,4,5,1,1,3,3,0,1
252,25,3,3,1,1,1,3,2,0,1
253,26,4,4,1,1,0,1,4,0,1
254,48,1,3,4,1,1,3,3,1,1
255,36,4,4,2,1,1,3,3,0,1
256,38,3,4,2,0,1,2,4,0,1
257,44,1,2,7,1,1,3,4,0,1
258,44,2,2,1,1,0,3,2,0,1
259,39,3,3,1,0,1,3,4,0,1
260,47,1,2,7,1,0,3,2,0,1
261,43,1,3,5,1,0,3,2,0,1
262,29,3,3,3,1,0,2,4,0,1
263,22,3,3,0,1,1,2,2,0,1
264,31,2,4,5,1,1,3,2,0,1
265,22,4,4,0,1,1,1,3,0,1
266,45,3,4,6,1,1,2,4,0,1
267,42,3,4,10,1,0,3,2,0,1
268,38,3,3,7,1,1,3,1,0,1
269,47,1,1,6,1,0,3,1,0,1
270,30,4,4,2,1,1,1,4,0,1
271,28,3,4,1,1,1,3,4,0,1
272,25,3,4,1,1,1,2,1,0,1
273,49,2,4,6,0,1,2,3,0,1
274,23,3,4,2,1,0,2,3,0,1
275,35,3,4,1,0,1,2,3,0,1
276,47,2,1,5,0,1,2,4,0,1
277,35,2,3,0,1,1,2,4,0,1
278,44,3,4,6,1,1,3,4,0,1
279,48,4,4,3,1,1,2,4,0,1
280,43,2,3,6,1,0,3,3,0,1
281,21,2,4,2,1,1,3,1,0,1
282,22,4,4,0,1,1,1,4,0,1
283,41,3,3,5,1,1,3,4,0,1
284,29,2,4,2,1,0,4,4,1,1
285,44,4,4,5,0,1,2,4,0,1
286,22,4,4,0,1,0,1,4,0,1
287,23,2,4,4,1,1,3,3,0,1
288,22,2,1,0,1,1,3,2,0,1
289,35,1,3,0,1,1,2,2,1,1
290,24,4,4,1,1,1,2,2,0,1
291,36,4,4,4,1,1,1,4,0,1
292,47,1,2,2,1,1,2,4,0,1
293,40,4,4,3,1,1,3,4,0,1
294,29,4,4,1,1,1,1,3,0,1
295,49,3,4,6,1,1,1,4,0,1
296,49,3,4,9,1,1,1,4,0,1
297,47,4,4,2,1,1,1,4,0,1
298,28,4,4,3,0,1,1,4,0,1
299,26,4,4,1,1,1,1,4,0,1
300,29,1,2,7,1,1,2,4,0,1
301,29,4,2,0,1,0,2,2,0,1
302,25,3,3,1,1,1,3,4,0,1
303,24,2,4,2,1,1,3,4,0,1
304,23,4,4,1,1,0,2,4,0,1
305,23,4,4,2,1,0,3,3,0,1
306,44,1,2,2,1,1,2,4,0,1
307,39,3,4,6,1,1,1,4,0,1
308,21,3,3,0,1,1,2,2,0,1
309,22,3,4,2,1,1,2,3,0,1
310,47,3,4,3,1,1,2,3,0,1
311,36,3,3,2,1,0,2,4,0,1
312,25,1,4,2,1,0,3,3,1,1
313,40,4,4,2,1,1,3,4,0,1
314,36,2,2,0,0,0,3,3,0,1
315,37,2,3,5,0,0,2,4,0,1
316,28,1,4,2,1,0,2,3,0,1
317,30,3,3,5,1,0,3,4,0,1
318,16,3,4,1,1,1,3,3,0,1
319,32,2,3,4,0,1,2,4,0,1
320,40,4,4,3,0,1,3,4,0,1
321,40,1,1,2,1,0,3,4,0,1
322,45,3,4,2,0,1,1,4,0,1
323,21,1,3,0,1,0,3,4,1,1
324,28,4,4,1,0,1,1,3,0,1
325,25,4,4,1,0,1,2,3,0,1
326,44,1,3,4,1,1,3,3,1,1
327,35,4,4,2,0,1,3,4,0,1
328,49,4,4,4,1,1,3,4,0,1
329,39,3,4,1,0,1,3,4,0,1
330,32,3,4,1,0,1,2,4,0,1
331,35,1,2,0,1,0,4,4,0,1
332,21,1,2,1,1,0,3,4,0,1
333,47,4,4,1,0,1,1,4,0,1
334,27,4,4,1,0,1,3,4,0,1
335,31,2,2,8,1,1,2,2,1,1
336,34,4,3,0,0,0,3,3,0,1
337,30,4,4,3,1,0,2,4,0,1
338,25,4,4,0,1,0,2,4,0,1
339,28,3,4,3,1,1,2,1,0,1
340,30,2,3,4,1,0,3,2,0,1
341,42,3,3,8,1,1,4,3,0,1
342,23,4,4,0,0,1,2,4,0,1
343,45,3,4,3,0,1,3,4,0,1
344,21,4,4,1,1,1,3,3,0,1
345,28,4,4,1,0,1,2,4,0,1
346,33,4,4,1,0,0,3,4,0,1
347,32,1,2,4,1,1,3,2,1,1
348,25,2,2,3,1,1,3,3,0,1
349,25,3,3,1,1,1,3,1,0,1
350,19,2,2,2,1,1,3,1,0,1
351,40,1,2,6,1,1,3,1,1,1
352,24,2,2,2,1,1,3,1,1,1
353,32,2,2,1,1,1,2,1,0,1
354,35,2,3,8,1,1,3,2,0,1
355,27,2,2,1,1,0,3,2,1,1
356,23,2,4,2,1,1,1,4,0,1
357,22,2,4,4,1,1,3,4,0,1
358,49,2,3,0,1,1,1,2,0,1
359,25,2,3,0,1,1,2,4,0,1
360,18,3,4,1,1,1,3,1,0,1
361,43,3,3,4,1,1,2,4,0,1
362,37,1,3,0,1,1,3,4,0,1
363,30,2,3,2,1,0,2,4,0,1
364,29,3,2,0,1,1,2,2,0,1
365,20,2,3,3,1,1,3,4,0,1
366,42,3,3,3,1,0,2,4,0,1
367,23,4,4,1,1,1,2,3,0,1
368,34,2,3,7,1,0,3,3,0,1
369,23,3,3,6,1,1,3,3,0,1
370,38,3,3,5,1,1,1,4,0,1
371,37,2,3,4,1,1,2,3,0,1
372,17,2,3,1,1,1,3,2,0,1
373,39,3,4,3,1,1,1,4,0,1
374,49,1,3,0,1,1,3,3,1,1
375,23,3,3,2,1,1,2,2,0,1
376,40,3,3,3,1,1,2,2,1,1
377,32,2,4,5,1,1,2,3,0,1
378,18,2,3,1,1,1,2,3,0,1
379,46,1,2,8,1,1,3,3,1,1
380,37,3,3,6,1,1,2,2,0,1
381,38,2,4,5,0,1,2,2,0,1
382,37,2,3,2,0,0,3,3,0,1
383,25,2,3,1,1,0,2,1,0,1
384,38,2,4,5,1,1,3,3,0,1
385,39,4,4,2,1,0,1,4,0,1
386,44,4,4,3,1,0,1,4,1,1
387,19,4,4,0,0,1,3,4,0,1
388,28,2,4,1,1,0,3,4,0,1
389,20,2,3,1,1,1,3,4,0,1
390,33,4,4,0,1,0,3,3,0,1
391,33,4,4,5,1,1,3,4,0,1
392,47,1,4,6,1,1,1,4,0,1
393,25,3,3,0,1,1,3,4,0,1
394,29,4,4,0,1,0,2,4,0,1
395,37,4,4,2,0,1,1,4,0,1
396,49,1,3,6,1,1,2,4,0,1
397,48,1,1,8,1,0,2,2,1,1
398,19,2,2,0,1,1,2,2,0,1
399,46,1,2,3,1,1,2,1,1,1
400,39,1,2,2,1,1,3,1,1,1
401,30,3,4,5,1,1,1,4,0,1
402,40,2,2,8,1,1,2,2,0,1
403,43,1,2,1,1,1,3,4,1,1
404,29,3,4,4,1,0,1,3,0,1
405,23,3,3,2,1,1,3,3,0,1
406,24,2,2,3,1,1,2,4,0,1
407,47,3,3,2,1,1,2,4,0,1
408,35,3,3,2,1,0,2,2,0,1
409,19,3,3,1,1,1,2,4,0,1
410,45,2,3,4,1,0,2,4,0,1
411,42,2,4,2,1,1,3,4,0,1
412,47,1,1,1,1,1,3,4,0,1
413,25,2,2,2,1,1,3,1,0,1
414,20,2,3,3,1,1,3,4,0,1
415,33,3,3,6,1,1,3,4,0,2
416,46,4,3,5,1,1,1,4,0,2
417,35,4,4,4,1,1,1,4,0,2
418,26,4,4,2,1,0,1,4,0,2
419,36,3,3,5,1,0,1,3,0,2
420,37,3,4,3,1,1,1,3,0,2
421,44,2,4,4,1,1,3,3,0,2
422,32,4,4,2,1,1,1,4,0,2
423,25,2,4,6,1,1,3,4,0,2
424,42,2,3,7,1,1,3,4,0,2
425,30,4,4,2,0,0,1,4,0,2
426,39,4,4,4,1,1,1,4,0,2
427,26,1,1,2,1,1,3,4,0,2
428,30,2,4,3,1,1,3,4,0,2
429,38,4,4,4,0,0,1,2,0,2
430,23,4,4,1,1,1,1,2,0,2
431,18,3,4,1,1,1,3,4,0,2
432,25,3,4,3,1,1,2,3,0,2
433,37,4,4,2,1,0,3,3,0,2
434,20,3,4,1,1,1,3,2,0,2
435,45,4,4,7,1,1,1,4,0,2
436,28,2,1,2,1,0,3,3,0,2
437,33,2,2,3,1,1,2,3,0,2
438,28,2,3,2,1,1,3,3,0,2
439,30,2,4,1,1,0,3,4,0,2
440,32,4,4,4,1,1,2,4,0,2
441,48,4,3,7,1,0,2,4,0,2
442,46,4,4,2,1,0,1,4,0,2
443,32,4,4,2,0,0,1,4,0,2
444,49,4,4,10,1,1,1,4,0,2
445,33,2,2,6,1,0,3,4,0,2
446,39,4,4,3,1,1,1,4,0,2
447,35,4,4,5,0,0,1,4,0,2
448,36,4,4,3,0,1,1,3,0,2
449,20,3,4,1,1,1,2,4,0,2
450,23,4,4,1,1,1,3,4,0,2
451,26,2,4,2,1,1,1,3,0,2
452,25,3,3,1,1,1,3,1,0,2
453,31,4,4,1,1,1,1,4,0,2
454,36,4,4,2,1,1,2,4,0,2
455,32,3,3,2,1,0,3,4,0,2
456,36,4,4,3,1,1,1,4,0,2
457,40,4,4,3,1,1,1,4,0,2
458,46,4,4,4,1,1,1,4,0,2
459,42,4,4,8,0,1,1,4,0,2
460,39,4,4,4,1,0,1,4,0,2
461,34,4,4,2,1,1,1,4,0,2
462,36,4,4,3,1,1,1,4,0,2
463,37,4,4,3,1,1,1,4,0,2
464,36,4,4,4,0,1,1,4,0,2
465,38,4,4,2,1,1,1,4,0,2
466,27,3,3,1,0,0,2,4,0,2
467,37,4,3,8,1,1,1,4,0,2
468,24,1,4,1,1,0,4,2,1,2
469,42,2,4,8,1,1,1,4,0,2
470,31,4,4,3,0,0,4,4,0,2
471,34,2,3,2,1,1,3,3,0,2
472,34,4,4,4,1,1,3,3,0,2
473,36,4,4,4,0,0,1,4,0,2
474,47,4,4,8,1,1,1,4,0,2
475,34,4,4,3,1,1,1,4,0,2
476,44,4,4,6,0,1,1,3,0,2
477,21,4,4,1,1,1,1,4,0,2
478,42,4,4,6,1,1,1,3,0,2
479,44,4,4,4,1,0,2,3,0,2
480,19,4,4,1,1,1,2,3,0,2
481,35,1,3,7,1,0,2,3,1,2
482,24,4,4,1,1,1,3,2,0,2
483,32,3,4,7,0,1,1,3,0,2
484,31,3,3,2,1,0,3,3,0,2
485,47,3,4,11,1,0,2,3,0,2
486,38,4,4,6,1,0,3,3,0,2
487,40,4,4,4,1,1,1,3,0,2
488,35,3,3,4,1,1,3,2,0,2
489,26,3,4,3,1,1,3,4,0,2
490,23,4,3,3,1,1,3,3,0,2
491,40,4,4,6,0,0,1,4,0,2
492,37,4,4,3,1,1,1,4,0,2
493,39,4,4,5,1,1,2,4,0,2
494,25,4,4,2,1,1,2,4,0,2
495,48,4,4,4,0,1,1,4,0,2
496,31,4,4,3,1,1,1,4,0,2
497,26,4,4,1,0,1,2,4,0,2
498,44,4,4,5,1,0,1,4,0,2
499,29,4,4,1,1,0,2,4,0,2
500,36,2,1,6,1,1,2,1,0,2
501,29,4,4,2,1,0,1,3,0,2
502,37,2,3,7,1,1,3,4,0,2
503,28,3,3,3,1,1,1,2,0,2
504,40,2,3,6,1,1,1,2,0,2
505,33,4,4,4,1,1,1,4,0,2
506,22,4,4,1,1,1,1,2,0,2
507,35,3,4,5,1,0,1,3,1,2
508,32,4,4,3,0,1,3,3,0,2
509,35,4,4,5,1,0,1,3,0,2
510,29,4,4,2,1,1,1,4,0,2
511,23,3,3,2,1,0,3,4,0,2
512,35,4,4,2,1,0,1,4,0,2
513,36,4,4,3,1,0,2,4,0,2
514,32,4,4,2,1,0,1,4,0,2
515,30,4,1,4,1,1,3,3,0,2
516,36,4,4,4,0,1,2,4,0,2
517,33,4,4,3,1,1,3,4,0,2
518,33,3,4,5,0,1,3,3,0,2
519,43,2,4,13,1,1,2,3,0,2
520,35,3,3,6,1,1,2,3,0,2
521,38,4,4,5,1,1,1,3,0,2
522,25,3,1,4,1,1,3,1,0,2
523,26,3,3,2,1,1,3,2,0,2
524,24,4,4,1,1,1,3,4,0,2
525,22,3,4,1,1,1,4,4,0,2
526,33,2,3,5,1,0,2,1,0,2
527,45,3,3,7,1,1,3,4,0,2
528,29,4,4,2,1,0,1,3,0,2
529,47,2,2,7,1,1,2,4,0,2
530,36,3,2,6,1,1,3,2,0,2
531,45,3,3,8,1,1,2,3,0,2
532,47,4,4,6,1,0,1,4,0,2
533,43,3,4,2,1,0,2,4,0,2
534,44,4,4,7,1,1,3,2,0,2
535,24,2,4,2,1,1,3,3,0,2
536,28,4,4,2,1,0,1,3,0,2
537,34,4,4,5,1,1,3,4,0,2
538,31,3,4,4,1,1,1,3,0,2
539,27,4,4,3,1,1,1,4,0,2
540,27,3,3,1,1,0,3,4,0,2
541,26,4,4,1,1,0,1,3,0,2
542,36,3,4,7,1,1,2,2,0,2
543,35,4,4,4,0,1,3,3,0,2
544,38,4,4,6,1,1,3,3,0,2
545,44,4,4,7,1,1,2,4,0,2
546,25,4,4,1,1,1,1,4,0,2
547,25,4,4,2,0,1,1,3,0,2
548,41,4,4,4,1,1,1,4,0,2
549,41,3,4,5,1,1,1,3,0,2
550,24,4,4,1,1,0,1,4,0,2
551,33,4,4,3,1,1,3,3,0,2
552,29,4,4,3,1,0,3,3,0,2
553,47,4,4,4,1,0,1,4,0,2
554,28,4,4,4,1,1,1,3,0,2
555,21,2,2,1,1,1,3,2,0,2
556,32,3,3,6,1,0,3,3,0,2
557,30,3,4,2,1,1,1,4,0,2
558,37,4,4,5,1,1,3,4,0,2
559,29,4,3,4,1,0,3,2,0,2
560,38,4,4,3,1,0,1,4,0,2
561,49,3,3,11,1,1,1,4,0,2
562,41,3,3,5,1,1,1,4,0,2
563,43,3,4,5,1,1,3,2,1,2
564,47,1,1,10,1,1,3,3,0,2
565,22,4,4,1,1,1,1,3,0,2
566,27,4,4,1,0,0,1,4,0,2
567,34,3,4,2,0,1,2,3,0,2
568,42,3,3,4,1,1,2,4,0,2
569,39,4,4,3,0,0,1,4,0,2
570,36,4,4,3,0,1,2,4,0,2
571,21,4,4,1,1,1,2,1,0,2
572,36,3,4,4,0,0,2,4,0,2
573,25,2,3,1,1,0,4,4,0,2
574,41,4,4,4,0,0,2,4,0,2
575,32,4,4,4,0,0,2,4,0,2
576,41,4,4,4,0,0,2,4,0,2
577,43,4,4,3,0,1,1,4,0,2
578,35,4,4,3,1,1,2,3,0,2
579,24,4,4,2,1,0,1,3,0,2
580,43,4,4,6,1,1,1,4,0,2
581,48,4,4,7,0,1,1,4,0,2
582,28,4,4,2,1,1,1,3,0,2
583,24,4,4,1,1,1,1,4,0,2
584,42,4,4,3,1,0,1,4,0,2
585,39,4,4,3,1,1,1,4,0,2
586,24,4,4,1,1,1,1,4,0,2
587,33,4,3,5,1,1,2,4,0,2
588,29,4,4,2,1,1,3,4,0,2
589,44,4,4,5,1,1,1,4,0,2
590,17,4,4,1,1,1,2,4,0,2
591,35,3,4,3,1,1,2,2,0,2
592,32,3,4,5,1,1,1,2,0,2
593,27,4,4,2,1,0,1,3,0,2
594,44,4,4,4,1,1,1,4,0,2
595,42,4,4,5,1,1,1,4,0,2
596,40,4,4,6,1,1,1,3,0,2
597,44,4,4,3,1,1,1,4,0,2
598,33,4,4,5,1,1,2,4,0,2
599,35,2,4,3,0,0,3,4,1,2
600,31,4,2,2,0,1,1,3,0,2
601,37,4,4,3,0,1,3,4,0,2
602,45,4,4,3,0,1,2,4,0,2
603,26,4,4,2,0,1,1,4,0,2
604,40,3,4,2,0,1,3,4,0,2
605,30,4,4,1,0,1,2,4,0,2
606,36,3,4,3,0,0,3,4,0,2
607,33,3,4,3,0,1,2,4,0,2
608,41,4,4,5,0,1,2,4,0,2
609,45,3,3,6,0,1,2,4,0,2
610,48,4,4,6,0,1,2,4,0,2
611,35,4,4,3,0,0,3,4,0,2
612,37,4,4,4,0,0,2,4,0,2
613,46,4,4,3,0,0,1,4,0,2
614,38,4,4,4,0,1,3,4,0,2
615,30,3,4,7,1,1,2,4,0,2
616,42,4,3,7,1,0,1,4,0,2
617,35,2,2,6,1,1,3,4,0,2
618,34,4,4,6,1,1,3,4,0,2
619,37,4,4,4,1,1,1,4,0,2
620,38,4,4,6,1,1,1,4,0,2
621,30,3,3,2,1,1,2,3,0,2
622,46,4,4,4,1,1,1,4,0,2
623,31,4,4,3,0,1,2,4,0,2
624,41,4,4,6,0,1,1,4,0,2
625,41,4,4,7,1,1,2,4,0,2
626,32,4,4,2,0,0,2,4,0,2
627,44,4,4,4,1,1,1,4,0,2
628,39,4,4,4,0,1,1,4,0,2
